rank,name,year,type,domains,mechanisms,rating_avg,complexity,bgg_id
1,Gloomhaven,2017,boardgame,"Strategy Games, Thematic Games","Action Queue, Action Retrieval, Campaign / Battle Card Driven, Card Play Conflict Resolution, Communication Limits, Cooperative Game, Deck Construction, Deck Bag and Pool Building, Grid Movement, Hand Management, Hexagon Grid, Legacy Game, Modular Board, Once-Per-Game Abilities, Scenario / Mission / Campaign Game, Simultaneous Action Selection, Solo / Solitaire Game, Storytelling, Variable Player Powers",8.79,3.86,174430
2,Pandemic Legacy: Season 1,2015,boardgame,"Strategy Games, Thematic Games","Action Points, Cooperative Game, Hand Management, Legacy Game, Point to Point Movement, Set Collection, Trading, Variable Player Powers",8.61,2.84,161936
3,Brass: Birmingham,2018,boardgame,Strategy Games,"Hand Management, Income, Loans, Market, Network and Route Building, Score-and-Reset Game, Tech Trees / Tech Tracks, Turn Order: Stat-Based, Variable Set-up",8.66,3.91,224517
4,Terraforming Mars,2016,boardgame,Strategy Games,"Card Drafting, Drafting, End Game Bonuses, Hand Management, Hexagon Grid, Income, Set Collection, Solo / Solitaire Game, Take That, Tile Placement, Turn Order: Progressive, Variable Player Powers",8.43,3.24,167791
5,Twilight Imperium: Fourth Edition,2017,boardgame,"Strategy Games, Thematic Games","Action Drafting, Area Majority / Influence, Area-Impulse, Dice Rolling, Follow, Grid Movement, Hexagon Grid, Modular Board, Trading, Variable Phase Order, Variable Player Powers, Voting",8.70,4.22,233078
6,Gloomhaven: Jaws of the Lion,2020,boardgame,"Strategy Games, Thematic Games","Action Queue, Campaign / Battle Card Driven, Communication Limits, Cooperative Game, Critical Hits and Failures, Deck Construction, Grid Movement, Hand Management, Hexagon Grid, Legacy Game, Line of Sight, Once-Per-Game Abilities, Scenario / Mission / Campaign Game, Simultaneous Action Selection, Solo / Solitaire Game, Variable Player Powers",8.87,3.55,291457
7,Through the Ages: A New Story of Civilization,2015,boardgame,Strategy Games,"Action Points, Auction/Bidding, Auction: Dutch, Card Drafting, Events, Income, Take That",8.43,4.41,182028
8,Gaia Project,2017,boardgame,Strategy Games,"End Game Bonuses, Hexagon Grid, Income, Modular Board, Network and Route Building, Solo / Solitaire Game, Tech Trees / Tech Tracks, Turn Order: Pass Order, Variable Player Powers, Variable Set-up, Victory Points as a Resource",8.49,4.35,220308
9,Star Wars: Rebellion,2016,boardgame,Thematic Games,"Area Majority / Influence, Area Movement, Area-Impulse, Delayed Purchase, Dice Rolling, Hand Management, Team-Based Game, Variable Player Powers",8.42,3.71,187645
10,Twilight Struggle,2005,boardgame,"Strategy Games, Wargames","Action/Event, Advantage Token, Area Majority / Influence, Campaign / Battle Card Driven, Dice Rolling, Hand Management, Simulation, Simultaneous Action Selection, Sudden Death Ending, Tug of War",8.29,3.59,12333
11,Great Western Trail,2016,boardgame,Strategy Games,"Deck Bag and Pool Building, Hand Management, Ownership, Point to Point Movement, Rondel, Set Collection, Track Movement, Variable Set-up",8.30,3.71,193738
12,War of the Ring: Second Edition,2012,boardgame,"Thematic Games, Wargames","Area Majority / Influence, Area Movement, Campaign / Battle Card Driven, Card Play Conflict Resolution, Deck Bag and Pool Building, Dice Rolling, Hand Management, Hidden Movement, Movement Points, Simulation, Team-Based Game",8.49,4.14,115746
13,Spirit Island,2017,boardgame,Strategy Games,"Action Retrieval, Area Majority / Influence, Campaign / Battle Card Driven, Cooperative Game, Events, Hand Management, Modular Board, Set Collection, Simultaneous Action Selection, Solo / Solitaire Game, Variable Player Powers",8.35,4.01,162886
14,Scythe,2016,boardgame,Strategy Games,"Area Majority / Influence, Card Play Conflict Resolution, Force Commitment, Grid Movement, Hexagon Grid, King of the Hill, Movement Points, Moving Multiple Units, Narrative Choice / Paragraph, Solo / Solitaire Game, Tech Trees / Tech Tracks, Variable Player Powers",8.24,3.41,169786
15,The Castles of Burgundy,2011,boardgame,Strategy Games,"Dice Rolling, Grid Coverage, Hexagon Grid, Set Collection, Tile Placement, Turn Order: Stat-Based, Worker Placement with Dice Workers",8.13,3.00,84876
16,Terra Mystica,2012,boardgame,Strategy Games,"End Game Bonuses, Hexagon Grid, Income, Increase Value of Unchosen Resources, Network and Route Building, Tech Trees / Tech Tracks, Turn Order: Pass Order, Variable Player Powers, Variable Set-up, Victory Points as a Resource",8.14,3.96,120677
17,7 Wonders Duel,2015,boardgame,Strategy Games,"Card Drafting, Drafting, Set Collection, Sudden Death Ending, Tug of War",8.11,2.23,173346
18,Concordia,2013,boardgame,Strategy Games,"Action Retrieval, Advantage Token, Auction: Dutch, Card Drafting, Deck Bag and Pool Building, Hand Management, Movement Points, Point to Point Movement, Set Collection, Variable Set-up",8.12,3.03,124361
19,Brass: Lancashire,2007,boardgame,Strategy Games,"Hand Management, Income, Loans, Network and Route Building",8.17,3.86,28720
20,Wingspan,2019,boardgame,"Family Games, Strategy Games","Card Drafting, Dice Rolling, Drafting, End Game Bonuses, Hand Management, Set Collection, Solo / Solitaire Game",8.11,2.42,266192
21,A Feast for Odin,2016,boardgame,Strategy Games,"Automatic Resource Growth, Dice Rolling, Grid Coverage, Income, Pattern Building, Push Your Luck, Solo / Solitaire Game, Tile Placement, Turn Order: Pass Order, Worker Placement",8.20,3.84,177736
22,Arkham Horror: The Card Game,2016,boardgame,"Customizable Games, Thematic Games","Action Points, Cooperative Game, Deck Construction, Hand Management, Role Playing, Scenario / Mission / Campaign Game, Solo / Solitaire Game, Variable Player Powers",8.17,3.44,205637
23,Viticulture Essential Edition,2015,boardgame,Strategy Games,"Contracts, Hand Management, Solo / Solitaire Game, Turn Order: Auction, Victory Points as a Resource, Worker Placement, Worker Placement, Different Worker Types",8.08,2.91,183394
24,Nemesis,2018,boardgame,Thematic Games,"Campaign / Battle Card Driven, Cooperative Game, Dice Rolling, Hidden Roles, Modular Board, Player Elimination, Semi-Cooperative Game, Solo / Solitaire Game, Team-Based Game, Traitor Game, Variable Player Powers",8.40,3.35,167355
25,Orléans,2014,boardgame,Strategy Games,"Deck Bag and Pool Building, Point to Point Movement, Turn Order: Progressive",8.09,3.05,164928
26,Mage Knight Board Game,2011,boardgame,"Strategy Games, Thematic Games","Card Drafting, Cooperative Game, Deck Bag and Pool Building, Dice Rolling, Grid Movement, Hand Management, Hexagon Grid, Modular Board, Role Playing, Solo / Solitaire Game, Variable Player Powers",8.10,4.31,96848
27,Root,2018,boardgame,"Strategy Games, Wargames","Action Queue, Action Retrieval, Area Majority / Influence, Area Movement, Dice Rolling, Hand Management, Point to Point Movement, Race, Variable Player Powers",8.10,3.67,237182
28,Puerto Rico,2002,boardgame,Strategy Games,"Action Drafting, End Game Bonuses, Follow, Hidden Victory Points, Increase Value of Unchosen Resources, Turn Order: Progressive, Variable Phase Order",7.99,3.28,3076
29,Food Chain Magnate,2015,boardgame,Strategy Games,"Card Drafting, Delayed Purchase, Income, Market, Modular Board, Network and Route Building, Simultaneous Action Selection",8.14,4.20,175914
30,Caverna: The Cave Farmers,2013,boardgame,Strategy Games,"Automatic Resource Growth, Increase Value of Unchosen Resources, Solo / Solitaire Game, Tile Placement, Turn Order: Claim Action, Worker Placement",8.02,3.79,102794
31,Agricola,2007,boardgame,Strategy Games,"Advantage Token, Automatic Resource Growth, Card Drafting, Enclosure, Hand Management, Increase Value of Unchosen Resources, Solo / Solitaire Game, Turn Order: Claim Action, Variable Player Powers, Worker Placement",7.94,3.64,31260
32,Blood Rage,2015,boardgame,Strategy Games,"Action Points, Area Majority / Influence, Area Movement, Card Drafting, Hand Management, Memory, Simultaneous Action Selection",8.00,2.88,170216
33,Mansions of Madness: Second Edition,2016,boardgame,Thematic Games,"Area Movement, Cooperative Game, Dice Rolling, Hand Management, Modular Board, Role Playing, Scenario / Mission / Campaign Game, Solo / Solitaire Game, Team-Based Game, Traitor Game, Variable Player Powers",8.06,2.69,205059
34,The 7th Continent,2017,boardgame,Thematic Games,"Cooperative Game, Grid Movement, Hand Management, Map Addition, Modular Board, Scenario / Mission / Campaign Game, Solo / Solitaire Game, Storytelling, Variable Player Powers",8.15,2.87,180263
35,Pandemic Legacy: Season 2,2017,boardgame,"Strategy Games, Thematic Games","Cooperative Game, Hand Management, Legacy Game, Pick-up and Deliver, Point to Point Movement, Set Collection, Trading, Variable Player Powers",8.15,3.25,221107
36,Everdell,2018,boardgame,"Family Games, Strategy Games","Card Drafting, End Game Bonuses, Hand Management, Income, Solo / Solitaire Game, Variable Set-up, Worker Placement",8.08,2.81,199792
37,Maracaibo,2019,boardgame,Strategy Games,"Contracts, End Game Bonuses, Events, Hand Management, Income, Movement Points, Narrative Choice / Paragraph, Point to Point Movement, Race, Rondel, Scenario / Mission / Campaign Game, Set Collection, Solo / Solitaire Game, Stock Holding, Sudden Death Ending, Tech Trees / Tech Tracks, Track Movement, Variable Set-up",8.29,3.87,276025
38,Kingdom Death: Monster,2015,boardgame,Thematic Games,"Cooperative Game, Dice Rolling, Grid Movement, Role Playing, Solo / Solitaire Game, Storytelling",8.66,4.25,55690
39,Power Grid,2004,boardgame,Strategy Games,"Auction/Bidding, Auction: Turn Order Until Pass, Catch the Leader, Income, Market, Network and Route Building, Turn Order: Stat-Based",7.86,3.27,2651
40,Tzolk'in: The Mayan Calendar,2012,boardgame,Strategy Games,"Bias, End Game Bonuses, Turn Order: Claim Action, Worker Placement",7.90,3.67,126163
41,The Crew: The Quest for Planet Nine,2019,boardgame,"Family Games, Strategy Games","Communication Limits, Cooperative Game, Hand Management, Scenario / Mission / Campaign Game, Trick-taking",8.02,1.99,284083
42,Mechs vs. Minions,2016,boardgame,"Strategy Games, Thematic Games","Action Queue, Bias, Card Drafting, Cooperative Game, Dice Rolling, Modular Board, Programmed Movement, Role Playing, Variable Player Powers",8.05,2.41,209010
43,Underwater Cities,2018,boardgame,Strategy Games,"End Game Bonuses, Hand Management, Income, Network and Route Building, Solo / Solitaire Game, Turn Order: Stat-Based, Worker Placement",8.13,3.58,247763
44,Star Wars: Imperial Assault,2014,boardgame,Thematic Games,"Dice Rolling, Die Icon Resolution, Grid Movement, Line of Sight, Modular Board, Role Playing, Scenario / Mission / Campaign Game, Team-Based Game, Variable Player Powers",8.02,3.30,164153
45,Clans of Caledonia,2017,boardgame,Strategy Games,"Commodity Speculation, Contracts, Market, Modular Board, Network and Route Building, Solo / Solitaire Game, Turn Order: Pass Order, Variable Player Powers, Variable Set-up",8.01,3.46,216132
46,Anachrony,2017,boardgame,Strategy Games,"Dice Rolling, Solo / Solitaire Game, Tug of War, Turn Order: Claim Action, Variable Player Powers, Worker Placement, Worker Placement, Different Worker Types",8.10,4.00,185343
47,Le Havre,2008,boardgame,Strategy Games,"Automatic Resource Growth, End Game Bonuses, Increase Value of Unchosen Resources, Loans, Ownership, Solo / Solitaire Game, Worker Placement",7.87,3.74,35677
48,Too Many Bones,2017,boardgame,"Strategy Games, Thematic Games","Cooperative Game, Deck Bag and Pool Building, Dice Rolling, Die Icon Resolution, Hand Management, Resource to Move, Role Playing, Roles with Asymmetric Information, Solo / Solitaire Game, Stat Check Resolution, Turn Order: Role Order, Variable Player Powers",8.45,3.85,192135
49,Through the Ages: A Story of Civilization,2006,boardgame,Strategy Games,"Action Points, Auction/Bidding, Auction: Dutch, Card Drafting, Hand Management",7.93,4.17,25613
50,Azul,2017,boardgame,"Abstract Games, Family Games","Card Drafting, End Game Bonuses, Pattern Building, Set Collection, Tile Placement, Turn Order: Claim Action",7.83,1.77,230802
51,Marvel Champions: The Card Game,2019,boardgame,Customizable Games,"Cooperative Game, Deck Construction, Hand Management, Scenario / Mission / Campaign Game, Solo / Solitaire Game, Variable Player Powers, Variable Set-up",8.20,2.80,285774
52,Eclipse,2011,boardgame,Strategy Games,"Area Majority / Influence, Dice Rolling, Grid Movement, Hexagon Grid, Map Addition, Modular Board, Player Elimination, Tile Placement, Variable Phase Order, Variable Player Powers",7.89,3.70,72125
53,Clank! Legacy: Acquisitions Incorporated,2019,boardgame,Thematic Games,"Card Drafting, Deck Bag and Pool Building, Legacy Game, Once-Per-Game Abilities, Point to Point Movement, Push Your Luck",8.79,2.70,266507
54,Android: Netrunner,2012,boardgame,Customizable Games,"Action Points, Deck Construction, Hand Management, Secret Unit Deployment, Take That, Variable Player Powers",7.87,3.38,124742
55,Robinson Crusoe: Adventures on the Cursed Island,2012,boardgame,Thematic Games,"Action Queue, Cooperative Game, Dice Rolling, Hexagon Grid, Narrative Choice / Paragraph, Solo / Solitaire Game, Tile Placement, Variable Player Powers, Worker Placement",7.84,3.78,121921
56,The Voyages of Marco Polo,2015,boardgame,Strategy Games,"Contracts, Dice Rolling, Income, Point to Point Movement, Resource to Move, Set Collection, Turn Order: Claim Action, Variable Player Powers, Variable Set-up, Worker Placement with Dice Workers",7.87,3.19,171623
57,The Gallerist,2015,boardgame,Strategy Games,"Commodity Speculation, Investment, Set Collection, Solo / Solitaire Game, Worker Placement",8.04,4.28,125153
58,Barrage,2019,boardgame,Strategy Games,"Action Drafting, Contracts, End Game Bonuses, Income, Network and Route Building, Solo / Solitaire Game, Turn Order: Stat-Based, Variable Player Powers, Variable Set-up, Worker Placement",8.22,4.02,251247
59,Race for the Galaxy,2007,boardgame,Strategy Games,"Follow, Hand Management, Set Collection, Simultaneous Action Selection, Turn Order: Role Order, Variable Phase Order, Variable Player Powers",7.76,2.98,28143
